Date,TempHighF,TempLowF,DewPointHighF,DewPointLowF,HumidityHighPercent,HumidityLowPercent,SeaLevelPressureHighInches,SeaLevelPressureLowInches,VisibilityHighMiles,VisibilityLowMiles,WindHighMPH,WindGustMPH,PrecipitationSumInches,Events
2014-10-05,87,62,67.0,56.0,93.0,44.0,29.98,29.79,10.0,10.0,14.0,23.0,0,
2014-06-29,95,77,74.0,70.0,88.0,49.0,30.04,29.91,10.0,7.0,17.0,27.0,0,
2016-04-21,83,60,66.0,58.0,93.0,47.0,30.08,29.88,10.0,2.0,17.0,25.0,0.41,"Rain , Thunderstorm"
2015-08-09,103,74,61.515243902439025,50.93368902439025,100.0,29.0,30.112203647416415,29.931892097264434,9.99158377964805,7.233009708737864,13.231586940015186,21.37338403041825,0,
2014-06-25,89,71,76.0,68.0,94.0,59.0,30.07,29.92,10.0,7.233009708737864,16.0,24.0,0.49,"Fog , Rain , Thunderstorm"
2014-09-05,97,77,75.0,65.0,91.0,35.0,30.1,29.91,10.0,10.0,13.0,21.0,0.02,Rain
2015-07-28,100,77,75.0,65.0,91.0,35.0,30.0,29.86,10.0,6.0,14.0,25.0,0,
2015-12-17,68,39,37.0,23.0,79.0,28.0,30.26,29.99,10.0,10.0,14.0,25.0,0,
2015-05-01,84,55,56.0,50.0,86.0,33.0,30.07,29.98,10.0,10.0,10.0,15.0,0,
2016-11-14,82,56,62.0,55.0,100.0,48.0,30.15,30.0,10.0,7.233009708737864,9.0,16.0,0,Fog
2015-01-08,36,23,23.0,5.0,56.0,39.0,30.79,30.3,10.0,10.0,15.0,23.0,T,Rain
2015-03-12,73,52,55.0,49.0,96.0,49.0,30.19,29.99,10.0,9.0,13.0,18.0,0.02,Rain
2017-05-02,92,62,63.0,47.0,84.0,30.0,29.98,29.82,10.0,10.0,16.0,25.0,0,
2015-11-29,47,42,44.0,40.0,96.0,86.0,30.26,30.1,10.0,2.0,9.0,15.0,0.04,Rain
2014-10-20,82,63,64.0,58.0,100.0,45.0,30.08,29.98,10.0,4.0,8.0,13.0,0,
2015-03-26,70,54,65.0,33.0,93.0,31.0,30.19,29.86,10.0,2.0,20.0,29.0,0.05,Rain
2014-03-19,72,51,55.0,28.0,80.0,24.0,30.21,29.88,10.0,6.0,15.0,26.0,0,
2014-06-16,92,75,61.515243902439025,50.93368902439025,94.0,49.0,30.05,29.93,9.99158377964805,7.233009708737864,12.0,24.0,T,
2016-03-17,79,67,67.0,64.0,90.0,62.0,29.94,29.78,10.0,1.0,7.0,12.0,0.02,Rain
2014-08-17,101,79,74.0,59.0,85.0,27.0,30.02,29.84,10.0,10.0,16.0,24.0,0,
2016-10-31,86,60,69.0,58.0,100.0,44.0,30.13,29.96,10.0,7.233009708737864,12.0,17.0,0,Fog
2014-04-20,75,61,63.0,55.0,97.0,57.0,30.15,30.02,10.0,2.0,12.0,19.0,0,
2014-07-03,96,72,71.0,61.0,93.0,30.0,30.13,30.01,10.0,6.0,20.0,29.0,0.07,"Rain , Thunderstorm"
2015-03-05,47,31,32.0,18.0,89.0,33.0,30.64,30.21,10.0,2.0,20.0,33.0,0.13,"Rain , Thunderstorm"
2016-01-14,70,47,55.0,40.0,93.0,57.0,30.05,29.74,10.0,10.0,12.0,19.0,0,
2016-01-04,58,37,33.0,30.0,79.0,36.0,30.41,30.27,10.0,10.0,9.0,13.0,0,
2014-12-07,56,52,50.0,46.0,89.0,77.0,30.4,30.27,10.0,9.0,9.0,14.0,0,
